img_path,seq
data/RE_data/img_org/train/inf.png,a pink flower in a vase sitting on a glass table
data/RE_data/img_org/train/twitter_19_31_0_0.jpg,a red double decker bus parked in front of a building
data/RE_data/img_org/train/twitter_19_31_0_16.jpg,a woman in a costume holding a baseball bat
data/RE_data/img_org/train/twitter_19_31_0_23.jpg,a picture of a book with a picture of a man
data/RE_data/img_org/train/twitter_19_31_0_3.jpg,a man holding a cell phone in his hand
data/RE_data/img_org/train/twitter_19_31_0_31.jpg,a boat in the middle of a river
data/RE_data/img_org/train/twitter_19_31_0_32.jpg,a couple of kids that are standing together
data/RE_data/img_org/train/twitter_19_31_0_39.jpg,a close up of many different colored flowers
data/RE_data/img_org/train/twitter_19_31_0_42.jpg,a man wearing a suit and tie in front of a book shelf
data/RE_data/img_org/train/twitter_19_31_0_56.jpg,a man with a beard wearing glasses and a hat
data/RE_data/img_org/train/twitter_19_31_0_64.jpg,a sign with a cat on it
data/RE_data/img_org/train/twitter_19_31_0_65.jpg,a woman in a bikini standing on a white surface
data/RE_data/img_org/train/twitter_19_31_0_68.jpg,a group of people standing around each other
data/RE_data/img_org/train/twitter_19_31_0_76.jpg,a man in a suit and tie standing in a car
data/RE_data/img_org/train/twitter_19_31_0_82.jpg,a statue of a man on a horse in front of a building
data/RE_data/img_org/train/twitter_19_31_0_83.jpg,a picture of a bird flying in the sky
data/RE_data/img_org/train/twitter_19_31_0_84.jpg,a man sitting at a table with a cell phone
data/RE_data/img_org/train/twitter_19_31_0_85.jpg,a view of a city with a bridge in the background
data/RE_data/img_org/train/twitter_19_31_0_96.jpg,a group of young people standing next to each other
data/RE_data/img_org/train/twitter_19_31_0_97.jpg,a fire place sitting in a living room
data/RE_data/img_org/train/twitter_19_31_10_1.jpg,a pink box with a pink hello kitty on it
data/RE_data/img_org/train/twitter_19_31_10_12.jpg,a man in a red jacket is holding a cell phone
data/RE_data/img_org/train/twitter_19_31_10_13.jpg,a couple of people that are laying down on a bed
data/RE_data/img_org/train/twitter_19_31_10_14.jpg,a woman in a white shirt sitting on top of a field
data/RE_data/img_org/train/twitter_19_31_10_15.jpg,a man in a black sweater and a black tie
data/RE_data/img_org/train/twitter_19_31_10_24.jpg,a large building with a clock on the top
data/RE_data/img_org/train/twitter_19_31_10_26.jpg,a very tall building with a clock on it
data/RE_data/img_org/train/twitter_19_31_10_28.jpg,a man in a suit and tie standing in front of a crowd
data/RE_data/img_org/train/twitter_19_31_10_29.jpg,a man standing next to a table filled with wine
data/RE_data/img_org/train/twitter_19_31_10_3.jpg,a couple of women standing next to each other
data/RE_data/img_org/train/twitter_19_31_10_31.jpg,a couple of people standing next to each other
data/RE_data/img_org/train/twitter_19_31_10_35.jpg,a park bench sitting in the middle of a park
data/RE_data/img_org/train/twitter_19_31_10_38.jpg,a man in a green shirt holding a green object
data/RE_data/img_org/train/twitter_19_31_10_42.jpg,a couple of men standing next to each other
data/RE_data/img_org/train/twitter_19_31_10_44.jpg,a man is doing a trick on a skateboard
data/RE_data/img_org/train/twitter_19_31_10_47.jpg,a couple of men standing next to each other
data/RE_data/img_org/train/twitter_19_31_10_50.jpg,a poster of the <unk> of a <unk>
data/RE_data/img_org/train/twitter_19_31_10_51.jpg,a man is sitting in front of a computer
data/RE_data/img_org/train/twitter_19_31_10_54.jpg,a man sitting on a chair with a hat on
data/RE_data/img_org/train/twitter_19_31_10_60.jpg,a city street filled with lots of parked cars
data/RE_data/img_org/train/twitter_19_31_10_64.jpg,a poster of the <unk> of the words <unk> <unk>
data/RE_data/img_org/train/twitter_19_31_10_68.jpg,a poster of a book with a sign on it
data/RE_data/img_org/train/twitter_19_31_10_7.jpg,a close up of a white plate with a banana on it
data/RE_data/img_org/train/twitter_19_31_10_71.jpg,a row of boats are docked in the water
data/RE_data/img_org/train/twitter_19_31_10_75.jpg,a sign that says <unk> <unk> <unk>
data/RE_data/img_org/train/twitter_19_31_10_76.jpg,a group of people on a field playing soccer
data/RE_data/img_org/train/twitter_19_31_10_84.jpg,a group of people sitting in a room
data/RE_data/img_org/train/twitter_19_31_10_86.jpg,a man and a woman standing next to each other
data/RE_data/img_org/train/twitter_19_31_10_89.jpg,a view of a field with a clock tower in the background
data/RE_data/img_org/train/twitter_19_31_10_91.jpg,a computer screen with a picture of the <unk>
data/RE_data/img_org/train/twitter_19_31_12_1.jpg,a poster of a woman holding a frisbee
data/RE_data/img_org/train/twitter_19_31_12_14.jpg,a man in a clown outfit holding a gun
data/RE_data/img_org/train/twitter_19_31_12_2.jpg,a group of people standing next to each other
data/RE_data/img_org/train/twitter_19_31_12_22.jpg,a man standing in front of a mirror
data/RE_data/img_org/train/twitter_19_31_12_36.jpg,a poster of the <unk> of a woman holding a bird
data/RE_data/img_org/train/twitter_19_31_12_59.jpg,a bench on a beach near a body of water
data/RE_data/img_org/train/twitter_19_31_12_87.jpg,a group of people walking down a street holding a sign
data/RE_data/img_org/train/twitter_19_31_12_91.jpg,a woman sitting on a chair holding a surfboard
data/RE_data/img_org/train/twitter_19_31_13_12.jpg,a book that is sitting on a table
data/RE_data/img_org/train/twitter_19_31_13_16.jpg,a man with a beard and a white tie
data/RE_data/img_org/train/twitter_19_31_13_19.jpg,a sign that has a lot of writing on it
data/RE_data/img_org/train/twitter_19_31_13_40.jpg,a bride and groom are cutting into a large cake
data/RE_data/img_org/train/twitter_19_31_13_44.jpg,a woman with a hair dryer in front of her face
data/RE_data/img_org/train/twitter_19_31_13_52.jpg,a flock of birds sitting on top of a snow covered field
data/RE_data/img_org/train/twitter_19_31_13_60.jpg,a man is holding a baseball bat in his hand
data/RE_data/img_org/train/twitter_19_31_13_70.jpg,a boy is sitting on a bench outside
data/RE_data/img_org/train/twitter_19_31_13_82.jpg,a black and white photo of a man wearing a tie
data/RE_data/img_org/train/twitter_19_31_13_83.jpg,a man is standing on a yellow wall
data/RE_data/img_org/train/twitter_19_31_13_93.jpg,a close up of a person wearing glasses and a tie
data/RE_data/img_org/train/twitter_19_31_13_95.jpg,a woman standing on a court with a tennis racquet
data/RE_data/img_org/train/twitter_19_31_13_96.jpg,a close up of a man wearing glasses and a tie
data/RE_data/img_org/train/twitter_19_31_14_16.jpg,a man in a white shirt and black hat
data/RE_data/img_org/train/twitter_19_31_14_20.jpg,a group of women standing next to a sign
data/RE_data/img_org/train/twitter_19_31_14_21.jpg,a picture of a person on a wall
data/RE_data/img_org/train/twitter_19_31_14_51.jpg,a plate of food that is on a table
data/RE_data/img_org/train/twitter_19_31_14_55.jpg,a couple of people standing next to each other
data/RE_data/img_org/train/twitter_19_31_14_61.jpg,a baseball player holding a bat on a field
data/RE_data/img_org/train/twitter_19_31_14_68.jpg,a close up of a person with a tie
data/RE_data/img_org/train/twitter_19_31_14_69.jpg,a man with a beard and a blue shirt
data/RE_data/img_org/train/twitter_19_31_14_7.jpg,a motorcycle parked in front of a store
data/RE_data/img_org/train/twitter_19_31_14_8.jpg,a group of people standing next to each other
data/RE_data/img_org/train/twitter_19_31_14_83.jpg,a group of people sitting on top of a snow covered slope
data/RE_data/img_org/train/twitter_19_31_14_88.jpg,there is a bear that is sitting in the water
data/RE_data/img_org/train/twitter_19_31_14_91.jpg,a bird sitting on a rock near the water
data/RE_data/img_org/train/twitter_19_31_14_92.jpg,a city street at night with lots of lights
data/RE_data/img_org/train/twitter_19_31_14_98.jpg,a man in a black shirt is looking at the camera
data/RE_data/img_org/train/twitter_19_31_15_11.jpg,a picture of a store with a picture of a person
data/RE_data/img_org/train/twitter_19_31_15_22.jpg,a city at night with a clock tower at night
data/RE_data/img_org/train/twitter_19_31_15_34.jpg,a man wearing a suit and tie standing on a street
data/RE_data/img_org/train/twitter_19_31_15_35.jpg,a picture of a book with a picture of a person
data/RE_data/img_org/train/twitter_19_31_15_42.jpg,a close up of a person holding a book
data/RE_data/img_org/train/twitter_19_31_15_47.jpg,a person holding a hot dog in a bun
data/RE_data/img_org/train/twitter_19_31_15_49.jpg,a close up of a red stop sign in the dark
data/RE_data/img_org/train/twitter_19_31_15_58.jpg,a group of young women playing a game of soccer
data/RE_data/img_org/train/twitter_19_31_15_59.jpg,a couple of women standing next to each other
data/RE_data/img_org/train/twitter_19_31_15_63.jpg,a man and a woman standing next to each other
data/RE_data/img_org/train/twitter_19_31_15_66.jpg,a man with a beard is wearing a tie
data/RE_data/img_org/train/twitter_19_31_15_68.jpg,a group of people standing around each other
data/RE_data/img_org/train/twitter_19_31_15_7.jpg,a painting of a man riding a horse in front of a painting
data/RE_data/img_org/train/twitter_19_31_15_72.jpg,a group of people playing soccer on a field
data/RE_data/img_org/train/twitter_19_31_15_76.jpg,a man with a beard and glasses on a cell phone
data/RE_data/img_org/train/twitter_19_31_15_84.jpg,a couple of people that are drinking wine
data/RE_data/img_org/train/twitter_19_31_15_91.jpg,a group of people standing next to each other
data/RE_data/img_org/train/twitter_19_31_16_24.jpg,a flooded street with a fire hydrant in it
data/RE_data/img_org/train/twitter_19_31_16_29.jpg,a group of people flying kites in the sky
data/RE_data/img_org/train/twitter_19_31_16_31.jpg,a man and a woman sitting next to each other
data/RE_data/img_org/train/twitter_19_31_16_39.jpg,a large tree with a tree branch in the background
data/RE_data/img_org/train/twitter_19_31_16_43.jpg,a man is standing in front of a store
data/RE_data/img_org/train/twitter_19_31_16_45.jpg,a man is holding a pair of shoes
data/RE_data/img_org/train/twitter_19_31_16_53.jpg,a man is standing in front of a store
data/RE_data/img_org/train/twitter_19_31_16_55.jpg,a car parked on the side of a street
data/RE_data/img_org/train/twitter_19_31_16_6.jpg,a couple of people standing next to each other
data/RE_data/img_org/train/twitter_19_31_16_67.jpg,a black and white picture of a sign
data/RE_data/img_org/train/twitter_19_31_16_71.jpg,a man is working on a laptop computer
data/RE_data/img_org/train/twitter_19_31_16_77.jpg,a brown dog standing on top of a sandy beach
data/RE_data/img_org/train/twitter_19_31_16_90.jpg,a woman standing in front of a black and white dress
data/RE_data/img_org/train/twitter_19_31_16_91.jpg,a person holding a cell phone in front of a computer
data/RE_data/img_org/train/twitter_19_31_16_93.jpg,a man is sitting at a table with a sign in the background
data/RE_data/img_org/train/twitter_19_31_16_96.jpg,a bed with a canopy in the middle of a forest
data/RE_data/img_org/train/twitter_19_31_17_0.jpg,a man in a red shirt is playing frisbee
data/RE_data/img_org/train/twitter_19_31_17_10.jpg,a picture of a cat in a window
data/RE_data/img_org/train/twitter_19_31_17_11.jpg,a couple of men standing next to each other
data/RE_data/img_org/train/twitter_19_31_17_17.jpg,a large body of water with a mountain in the background
data/RE_data/img_org/train/twitter_19_31_17_19.jpg,a green sign that is on a green pole
data/RE_data/img_org/train/twitter_19_31_17_28.jpg,a man is standing in front of a store
data/RE_data/img_org/train/twitter_19_31_17_33.jpg,a group of people sitting on a boat in the water
data/RE_data/img_org/train/twitter_19_31_17_36.jpg,a man is playing tennis on a tennis court
data/RE_data/img_org/train/twitter_19_31_17_47.jpg,a man with a beard and a beard in a kitchen
data/RE_data/img_org/train/twitter_19_31_17_49.jpg,a man riding a snowboard on top of a snow covered mountain
data/RE_data/img_org/train/twitter_19_31_17_50.jpg,a brown and white dog laying on a couch
data/RE_data/img_org/train/twitter_19_31_17_54.jpg,a close up of a computer screen
data/RE_data/img_org/train/twitter_19_31_17_55.jpg,a group of three people standing next to each other
data/RE_data/img_org/train/twitter_19_31_17_56.jpg,a man standing on a sidewalk holding a tennis racquet
data/RE_data/img_org/train/twitter_19_31_17_59.jpg,a large building with a clock tower in the background
data/RE_data/img_org/train/twitter_19_31_17_64.jpg,a black and white photo of a building with a horse drawn carriage
data/RE_data/img_org/train/twitter_19_31_17_69.jpg,a close up of a street sign on a white surface
data/RE_data/img_org/train/twitter_19_31_17_74.jpg,a person sitting in a car with a cell phone
data/RE_data/img_org/train/twitter_19_31_17_78.jpg,a statue of a man and a woman
data/RE_data/img_org/train/twitter_19_31_17_79.jpg,a group of people standing in a line at night
data/RE_data/img_org/train/twitter_19_31_17_84.jpg,a statue of a woman with a bird in the background
data/RE_data/img_org/train/twitter_19_31_17_89.jpg,a view of a city with a city skyline in the background
data/RE_data/img_org/train/twitter_19_31_17_94.jpg,a large building with a clock on it
data/RE_data/img_org/train/twitter_19_31_17_98.jpg,a group of men standing next to each other
data/RE_data/img_org/train/twitter_19_31_18_0.jpg,a man with a beard and a beard
data/RE_data/img_org/train/twitter_19_31_18_12.jpg,a cat sitting on a bed with its head on a pillow
data/RE_data/img_org/train/twitter_19_31_18_18.jpg,a group of people standing in a room
data/RE_data/img_org/train/twitter_19_31_18_25.jpg,a person holding a pair of red scissors
data/RE_data/img_org/train/twitter_19_31_18_34.jpg,a bag of chips and a bottle of milk
data/RE_data/img_org/train/twitter_19_31_18_36.jpg,a woman is smiling and smiling for the camera
data/RE_data/img_org/train/twitter_19_31_18_47.jpg,a poster of a woman with a cake
data/RE_data/img_org/train/twitter_19_31_18_55.jpg,a man with a beard and a tie
data/RE_data/img_org/train/twitter_19_31_18_58.jpg,a page of a book with a sign on it
data/RE_data/img_org/train/twitter_19_31_18_60.jpg,a close up of a sign that reads <unk> <unk>
data/RE_data/img_org/train/twitter_19_31_18_62.jpg,a sign that is on top of a building
data/RE_data/img_org/train/twitter_19_31_18_63.jpg,a man and a woman pose for a picture
data/RE_data/img_org/train/twitter_19_31_18_67.jpg,a man standing at a podium holding a laptop
data/RE_data/img_org/train/twitter_19_31_18_71.jpg,a large body of water with trees and trees in the background
data/RE_data/img_org/train/twitter_19_31_18_80.jpg,a group of people sitting around a table
data/RE_data/img_org/train/twitter_19_31_18_89.jpg,a person cutting a donut with a knife
data/RE_data/img_org/train/twitter_19_31_18_90.jpg,a large building with a clock on the top of it
data/RE_data/img_org/train/twitter_19_31_19_18.jpg,a couple of kids that are looking at their phones
data/RE_data/img_org/train/twitter_19_31_19_19.jpg,a person is using a computer keyboard on a desk
data/RE_data/img_org/train/twitter_19_31_19_20.jpg,a poster of a book with the words <unk> <unk>
data/RE_data/img_org/train/twitter_19_31_19_23.jpg,a close up of a screen of a message
data/RE_data/img_org/train/twitter_19_31_19_25.jpg,a man in a red shirt is smiling
data/RE_data/img_org/train/twitter_19_31_19_30.jpg,a picture of a man in a suit and tie
data/RE_data/img_org/train/twitter_19_31_19_35.jpg,a group of people posing for a picture
data/RE_data/img_org/train/twitter_19_31_19_4.jpg,a close up of a backpack with a bag on it
data/RE_data/img_org/train/twitter_19_31_19_40.jpg,a man in a black shirt is holding a frisbee
data/RE_data/img_org/train/twitter_19_31_19_41.jpg,a man in a suit and tie standing in front of a wall
data/RE_data/img_org/train/twitter_19_31_19_44.jpg,a man is playing a game of frisbee
data/RE_data/img_org/train/twitter_19_31_19_50.jpg,a man is sitting on a bench in front of a window
