img_path,seq
data/NER_data/twitter2017_images/16_05_01_100.jpg,a close up of a person holding a tennis racket
data/NER_data/twitter2017_images/16_05_01_102.jpg,a close up of a person holding a cell phone
data/NER_data/twitter2017_images/16_05_01_103.jpg,a close up of a cat in a window
data/NER_data/twitter2017_images/16_05_01_105.jpg,a close up of a person with a tie
data/NER_data/twitter2017_images/16_05_01_107.jpg,a man standing on top of a baseball field
data/NER_data/twitter2017_images/16_05_01_113.jpg,a dog laying on a bed with a blanket
data/NER_data/twitter2017_images/16_05_01_115.jpg,a close up of a man holding a baseball bat
data/NER_data/twitter2017_images/16_05_01_116.jpg,a woman in a red sweater and glasses
data/NER_data/twitter2017_images/16_05_01_117.jpg,a baseball player holding a bat on a field
data/NER_data/twitter2017_images/16_05_01_122.jpg,a herd of sheep standing on top of a lush green field
data/NER_data/twitter2017_images/16_05_01_125.jpg,a pair of scissors sitting on top of a wooden table
data/NER_data/twitter2017_images/16_05_01_127.jpg,a close up of a street sign with a sky background
data/NER_data/twitter2017_images/16_05_01_129.jpg,a close up of a person wearing a hat
data/NER_data/twitter2017_images/16_05_01_130.jpg,a baseball player is holding a ball in his hand
data/NER_data/twitter2017_images/16_05_01_132.jpg,a close up of a person with a cell phone in their hand
data/NER_data/twitter2017_images/16_05_01_138.jpg,a blurry photo of a person walking in the rain
data/NER_data/twitter2017_images/16_05_01_139.jpg,a close up of a sign that reads <unk> <unk>
data/NER_data/twitter2017_images/16_05_01_140.jpg,a close up of a black and white object
data/NER_data/twitter2017_images/16_05_01_142.jpg,a baseball player holding a bat on a field
data/NER_data/twitter2017_images/16_05_01_143.jpg,a man in a red shirt and black tie
data/NER_data/twitter2017_images/16_05_01_146.jpg,a baseball player is holding a baseball bat
data/NER_data/twitter2017_images/16_05_01_147.jpg,a group of people sitting on a bench
data/NER_data/twitter2017_images/16_05_01_149.jpg,a couple of people standing next to each other
data/NER_data/twitter2017_images/16_05_01_153.jpg,a black and white photo of a black and white street sign
data/NER_data/twitter2017_images/16_05_01_155.jpg,a close up of a person holding a baseball glove
data/NER_data/twitter2017_images/16_05_01_160.jpg,a close up of a sign that says <unk>
data/NER_data/twitter2017_images/16_05_01_163.jpg,a man with a tie standing in front of a sign
data/NER_data/twitter2017_images/16_05_01_166.jpg,a collage of photos with different types of birds
data/NER_data/twitter2017_images/16_05_01_175.jpg,a painting of a man on a horse
data/NER_data/twitter2017_images/16_05_01_188.jpg,a close up of a sign that says <unk> <unk>
data/NER_data/twitter2017_images/16_05_01_189.jpg,a man with a beard is wearing a tie
data/NER_data/twitter2017_images/16_05_01_191.jpg,a man holding a tennis racquet in his hands
